"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17979","add orange admin","webkit","2026-03-12","failed","2026-03-12","","site1.spec.js","",""
"","8994","test","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","929","contact page title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3506","test","chromium","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","30041","orange hrm title","firefox","2026-03-12","broken","2026-03-12","","site1.spec.js","",""
"","17074","orange hrm title","webkit","2026-03-12","failed","2026-03-12","","site1.spec.js","",""
"","14988","test","chromium","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","4682","test","webkit","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","1226","localhost 3000 contact test for amrit@gmail.com","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","30040","add orange admin","firefox","2026-03-12","broken","2026-03-12","","site1.spec.js","",""
"","1175","localhost 3000 contact test for raj@gmail.com","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","17250","orange hrm title","chromium","2026-03-12","failed","2026-03-12","","site1.spec.js","",""
"","4874","test","firefox","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","1177","test","webkit","2026-03-12","passed","2026-03-12","","contactCodeGen.spec.js","",""
"","625","contact page title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","550","contact page title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3255","test","firefox","2026-03-12","passed","2026-03-12","","contactCodeGen.spec.js","",""
"","1691","contact page submit","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2757","test","chromium","2026-03-12","passed","2026-03-12","","contactCodeGen.spec.js","",""
"","17585","test","firefox","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","542","localhost 3000 contact test for raj@gmail.com","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","529","contact page submit","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","427","localhost 3000 contact test for amrit@gmail.com","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1071","localhost 3000 contact test for raj@gmail.com","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","22208","test","webkit","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","30085","add orange admin","chromium","2026-03-12","broken","2026-03-12","","site1.spec.js","",""
"","1355","localhost 3000 contact test for amrit@gmail.com","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1164","contact page submit","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","4750","test","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","3102","test","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
