"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1361","test","chromium","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","1539","test","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","3672","test","webkit","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","1092","localhost 3000 contact test for raj@gmail.com","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1089","test","chromium","2026-03-12","failed","2026-03-12","","contactCodeGen.spec.js","",""
"","1977","contact page submit","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","30020","test","webkit","2026-03-12","broken","2026-03-12","","amazon.spec.js","",""
"","243","test","webkit","2026-03-12","failed","2026-03-12","","contactCodeGen.spec.js","",""
"","8539","orange hrm title","firefox","2026-03-12","passed","2026-03-12","","site1.spec.js","",""
"","0","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","7348","test","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","232","localhost 3000 contact test for raj@gmail.com","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1100","localhost 3000 contact test for amrit@gmail.com","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","244","contact page title","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","30018","test","chromium","2026-03-12","broken","2026-03-12","","amazon.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","236","contact page submit","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1980","localhost 3000 contact test for raj@gmail.com","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1100","contact page title","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","246","localhost 3000 contact test for amrit@gmail.com","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","8817","add orange admin","webkit","2026-03-12","passed","2026-03-12","","site1.spec.js","",""
"","3083","orange hrm title","chromium","2026-03-12","passed","2026-03-12","","site1.spec.js","",""
"","30028","test","firefox","2026-03-12","broken","2026-03-12","","amazon.spec.js","",""
"","2024","localhost 3000 contact test for amrit@gmail.com","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2683","test","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","1985","test","firefox","2026-03-12","failed","2026-03-12","","contactCodeGen.spec.js","",""
"","12202","add orange admin","firefox","2026-03-12","passed","2026-03-12","","site1.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","2036","contact page title","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1097","contact page submit","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1803","test","firefox","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","16257","add orange admin","chromium","2026-03-12","passed","2026-03-12","","site1.spec.js","",""
"","7412","orange hrm title","webkit","2026-03-12","passed","2026-03-12","","site1.spec.js","",""
